date,AGG,EEM,EFA,IJR,JNK,SHY,SPY
2012-03-23,0.0038433075,-0.026990235,-0.013150752000000002,-0.00013118981999999998,-0.00404346,-0.00011867285,-0.0046330094
2012-03-30,0.0013673306,0.00104892254,0.0020080805,0.0045181513,-0.0010149479,0.0005934238399999999,0.008306503
2012-04-05,0.00021147728,-0.0047734976,-0.034068108,-0.012973368,-0.0040174126999999995,0.0001219511,-0.007243812
2012-04-13,0.0066587925,-0.013570487,-0.013202608,-0.02283591,0.00256598,0.0013048649,-0.018956959
2012-04-20,0.00108742714,0.003913641,0.021597862000000002,0.007744551,0.00563097,0.0003553629,0.005906343499999999
2012-04-27,0.0014481543999999998,-0.0003544092,0.011412500999999999,0.025616884,0.008144617,0.0,0.017687559
2012-05-04,0.0023536682000000002,-0.022453368,-0.033111392999999996,-0.034836352,0.0059148073,0.00056433678,-0.024147034
2012-05-11,0.0010843277,-0.033728242,-0.021235883,-0.0017706156000000001,-0.00121217966,0.0,-0.010145962
2012-05-18,0.0018954277,-0.06693357500000001,-0.05961686,-0.047891974,-0.033628225,-0.00072818995,-0.043285847
2012-05-25,-0.0007207394,-0.0037543178,-0.000207901,0.018916607000000002,0.004447937,0.0003732443,0.018190265
2012-06-01,0.008279681,-0.012382329000000001,-0.032224536,-0.035583675,-0.014669478,0.0006854534,-0.029825926
2012-06-08,-0.0062723755999999995,0.033796668,0.042105199999999995,0.038063288,0.02048421,-0.00035518408000000004,0.038545609
2012-06-15,0.0043281317000000005,0.027946234,0.020408154,-0.0026693344000000003,0.0083419085,-0.00011849403,0.012984514
2012-06-22,-0.0030525923,-0.018764913,0.0017998219,0.0032525062999999997,0.009048581,-0.00047385693,-0.005069255999999999
2012-06-29,0.0023415089,0.035591364,0.031378984,0.032699108,0.011017084,-0.00011843443,0.019818544
2012-07-06,0.00452137,-0.009326637,-0.010408342,0.0090078115,0.004704833,0.0007838011,-0.004518509
2012-07-13,0.0044810772,-0.007351041,-0.0018203854999999998,-0.0045989752,0.002030015,0.00059235096,0.001918912
2012-07-20,0.0030335188,0.002598405,-0.004153967,-0.006250858299999999,0.003038764,0.000828743,0.0053038600000000005
2012-07-27,-0.0011563301,0.02436185,0.024926186000000003,0.00546968,0.005301595,-0.0007097721,0.016157389
2012-08-03,-0.00071161985,0.010246634,0.012308955,-0.0050318839999999995,0.006017923400000001,0.00030708313,0.0048602820000000005
2012-08-10,-0.0010714531,0.020035028,0.017258286,0.016812444,-0.0020085573,-0.0004735589,0.010699749000000001
2012-08-17,-0.0057209133999999995,-0.0063834786,0.008289933000000001,0.020029545,0.0,-0.00047379732,0.009514332
2012-08-24,0.0053043364999999995,-0.010378122,-0.0038241148000000003,-0.010411203,0.006037712,0.0007109642,-0.0047123432
2012-08-31,0.0049186945,-0.019225955,-0.009596944,0.0058596134,0.0037509203,0.0007104874,-0.0024732351
2012-09-07,-0.0023268461,0.034623265,0.032170534,0.035482645,0.006545663,-0.00031310320000000003,0.022456765
2012-09-14,-0.0046473742,0.042568919999999996,0.03548634,0.024677156999999998,0.014683962,-0.00023674965,0.020162106
2012-09-21,0.005207777,-0.014042914,-0.010970116,-0.015348077,-0.006131947,0.0,-0.004010856199999999
2012-09-28,0.0044484138,-0.01077199,-0.028325200000000002,-0.020747423,-0.007650614,0.0007104874,-0.013025284
