date,ticker_id,weekly_return
6/3/2011,0,0.2513051
6/10/2011,0,-2.9245853
6/17/2011,0,-1.4633119
6/24/2011,0,0.3732562
7/1/2011,0,5.8461547
7/8/2011,0,-0.47757626
7/15/2011,0,-2.6497006
7/22/2011,0,2.1217346
7/29/2011,0,-1.1332631
8/5/2011,0,-9.615791
8/12/2011,0,-3.0765653
8/19/2011,0,-3.8526773
8/26/2011,0,2.1169305
9/2/2011,0,2.5666356
9/9/2011,0,-3.729552
9/16/2011,0,1.2996793
9/23/2011,0,-11.472977
9/30/2011,0,-2.187848
10/7/2011,0,3.8324475
10/14/2011,0,8.644354
10/21/2011,0,-1.8565297
10/28/2011,0,9.123671
11/4/2011,0,-2.853781
11/11/2011,0,-0.9832442
11/18/2011,0,-5.504471
11/25/2011,0,-6.331092
12/2/2011,0,10.166216
12/9/2011,0,-1.0057867
12/16/2011,0,-4.6990037
12/23/2011,0,3.4967065
12/30/2011,0,-1.4161408
1/6/2012,0,0.7511854
1/13/2012,0,2.7861357
1/20/2012,0,5.3194165
1/27/2012,0,2.3682952
2/3/2012,0,3.588295
2/10/2012,0,-2.199179
2/17/2012,0,2.3651361
2/24/2012,0,0.5918503
3/2/2012,0,1.0183334
3/9/2012,0,-1.9041181
3/16/2012,0,0.68508387
3/23/2012,0,-2.6990235
3/30/2012,0,0.104892254
4/5/2012,0,-0.47734976
4/13/2012,0,-1.3570487
4/20/2012,0,0.3913641
4/27/2012,0,-0.03544092
5/4/2012,0,-2.2453368
5/11/2012,0,-3.3728242
5/18/2012,0,-6.6933575
5/25/2012,0,-0.37543178
6/1/2012,0,-1.2382329
6/8/2012,0,3.3796668
6/15/2012,0,2.7946234
6/22/2012,0,-1.8764913
6/29/2012,0,3.5591364
7/6/2012,0,-0.9326637
7/13/2012,0,-0.7351041
7/20/2012,0,0.2598405
7/27/2012,0,2.436185
8/3/2012,0,1.0246634
8/10/2012,0,2.0035028
8/17/2012,0,-0.63834786
8/24/2012,0,-1.0378122
8/31/2012,0,-1.9225955
9/7/2012,0,3.4623265
9/14/2012,0,4.256892
9/21/2012,0,-1.4042914
9/28/2012,0,-1.077199
10/5/2012,0,1.5123963
10/12/2012,0,-1.6209781
10/19/2012,0,0.5573034
10/26/2012,0,-0.6987989
11/2/2012,0,0.9463668
11/9/2012,0,-1.4423013
11/16/2012,0,-1.439023
11/23/2012,0,3.0190587
11/30/2012,0,0.37232637
12/7/2012,0,2.393198
12/14/2012,0,1.3906717
12/21/2012,0,0.33961535
12/28/2012,0,1.0383368
1/4/2013,0,2.9519439
1/11/2013,0,-1.1558115
1/18/2013,0,0.6858587
1/25/2013,0,-1.3735354
2/1/2013,0,0.78125
2/8/2013,0,-1.4717519
2/15/2013,0,0.31927824
2/22/2013,0,-1.6140103
3/1/2013,0,0.0693202
3/8/2013,0,1.8933296
3/15/2013,0,-3.0818045
3/22/2013,0,-1.8938541
3/28/2013,0,1.9304156
4/5/2013,0,-2.7121782
4/12/2013,0,0.6368637
4/19/2013,0,-0.5611956
4/26/2013,0,1.4409304
5/3/2013,0,3.0303001
5/10/2013,0,0.11488199
5/17/2013,0,-0.34427643
5/24/2013,0,-2.66006
5/31/2013,0,-2.5316477
6/7/2013,0,-1.2258768
6/14/2013,0,-3.3914924
6/21/2013,0,-4.8333826
6/28/2013,0,4.2304277
7/5/2013,0,-3.012985
7/12/2013,0,4.284942
7/19/2013,0,0.8603096
7/26/2013,0,1.4131188
8/2/2013,0,-0.30128956
8/9/2013,0,-0.8813858
8/16/2013,0,-0.15244484
8/23/2013,0,-1.6539395
8/30/2013,0,-1.6300142
9/6/2013,0,5.142021
9/13/2013,0,2.9518485
9/20/2013,0,2.2354603
9/27/2013,0,-1.9964337
10/4/2013,0,2.121985
10/11/2013,0,1.6979337
10/18/2013,0,1.1301756
10/25/2013,0,-1.3022661
